player_id,player_name,team_id,position,price,start_prob,has_valid_fixtures,has_team_match_context,has_player_component_source,has_backup_aggregate_ev,root_cause,recommended_repair_method,repair_confidence,historical_recovery_status,ev_match_method,current_component_source,current_base_ev_source,current_repair_status,current_weighted_group_stage_ev,max_backup_component_sum,max_backup_aggregate_ev,repair_class,fantasy_relevance_score
in_beom_hwang__kor,In-beom Hwang,KOR,MID,2500000,0.897,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,0.822672,0.0,0.0,new_general_ev_method,0.67159
matthew_garbett__nzl,Matthew Garbett,NZL,MID,2500000,0.8803,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,0.80086,0.0,0.0,new_general_ev_method,0.663741
maxence_lacroix__fra,Maxence Lacroix,FRA,DEF,3000000,0.873,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,3.024698,0.0,0.0,new_general_ev_method,0.65031
zizo__egy,Ahmed Zizo,EGY,MID,3000000,0.7866,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,1.2241,0.0,0.0,new_general_ev_method,0.649702
hamza_abdelkarim__egy,Hamza Abdelkarim,EGY,FWD,2000000,0.8655,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,0.45207,0.0,0.0,new_general_ev_method,0.646785
micky_van_de_ven__ned,Micky van de Ven,NED,DEF,4000000,0.7361,yes,yes,yes,yes,historical_components_lost_in_component_rebuild,"restore validated match components from named backup, then rerun existing consistency calculations",high,recoverable_from_backup_components,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,2.814945,0.017016,0.849174,deterministic_full,0.645967
mehdi_ghayedi__irn,Mehdi Ghayedi,IRN,MID,3000000,0.7519,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,1.245971,0.0,0.0,new_general_ev_method,0.633393
jules_kounde__fra,Jules Kounde,FRA,DEF,3500000,0.7661,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,2.967737,0.0,0.0,new_general_ev_method,0.630067
lachlan_bayliss__nzl,Lachlan Bayliss,NZL,MID,2000000,0.8655,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,0.416073,0.0,0.0,new_general_ev_method,0.626785
mostafa_ziko__egy,Mostafa Ziko,EGY,MID,2000000,0.8655,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,0.429148,0.0,0.0,new_general_ev_method,0.626785
pape_alassane_gueye__sen,Pape Alassane Gueye,SEN,MID,3000000,0.7287,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,1.197679,0.0,0.0,new_general_ev_method,0.622489
assane_diao_diaoune__sen,Assane Diao Diaoune,SEN,FWD,2500000,0.7493,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,0.805484,0.0,0.0,new_general_ev_method,0.622171
oston_urunov__uzb,Oston Urunov,UZB,MID,2500000,0.7918,yes,yes,yes,yes,historical_aggregate_only_missing_match_components,restore validated aggregate EV; rebuild match components only through a separate general component-generation method,high,recoverable_aggregate_only,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,1.060993,-0.002875,0.520135,deterministic_aggregate_only,0.622146
issa_diop__mar,Issa Diop,MAR,DEF,2500000,0.8568,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,2.192213,0.0,0.0,new_general_ev_method,0.612696
fredrik_aursnes__nor,Fredrik Aursnes,NOR,MID,3000000,0.7078,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,1.269728,0.0,0.0,new_general_ev_method,0.612666
ibrahim_sangare__civ,Ibrahim Sangare,CIV,MID,3000000,0.7036,yes,yes,no,no,missing_from_ev_master_at_holdet_rebase,"verify canonical identity against the pre-rebase source, then generate EV with the new general player-EV method",high,no_prior_nonzero_ev,unmatched,complete_components,component_weighted_sum,component_base_rebuilt,1.129189,0.0,0.0,manual_identity_then_general_method,0.610692
nikola_kati__bih,Nikola Katic,BIH,DEF,3000000,0.7847,yes,yes,yes,yes,historical_aggregate_only_missing_match_components,restore validated aggregate EV; rebuild match components only through a separate general component-generation method,high,recoverable_aggregate_only,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,2.26377,-0.032632,0.771951,deterministic_aggregate_only,0.608809
jean_philippe_mateta__fra,Jean-Philippe Mateta,FRA,FWD,3500000,0.5843,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,1.555181,0.0,0.0,new_general_ev_method,0.604621
victor_lindel_f__swe,Victor Lindelöf,SWE,DEF,3000000,0.7669,yes,yes,yes,yes,historical_aggregate_only_missing_match_components,restore validated aggregate EV; rebuild match components only through a separate general component-generation method,high,recoverable_aggregate_only,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,2.23075,-0.021034,0.643609,deterministic_aggregate_only,0.600443
oumar_diakite__civ,Oumar Diakite,CIV,FWD,2500000,0.6966,yes,yes,no,no,missing_from_ev_master_at_holdet_rebase,"verify canonical identity against the pre-rebase source, then generate EV with the new general player-EV method",high,no_prior_nonzero_ev,unmatched,complete_components,component_weighted_sum,component_base_rebuilt,0.729222,0.0,0.0,manual_identity_then_general_method,0.597402
kobbie_mainoo__eng,Kobbie Mainoo,ENG,MID,2500000,0.7371,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,0.831768,0.0,0.0,new_general_ev_method,0.596437
goncalo_guedes__por,Goncalo Guedes,POR,FWD,2500000,0.6911,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,0.870664,0.0,0.0,new_general_ev_method,0.594817
logan_costa__cpv,Logan Costa,CPV,DEF,2500000,0.8139,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,1.485539,0.0,0.0,new_general_ev_method,0.592533
habib_diarra__sen,Habib Diarra,SEN,MID,2500000,0.718,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,0.754994,0.0,0.0,new_general_ev_method,0.58746
armando_obispo__cuw,Armando Obispo,CUW,DEF,2000000,0.8628,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,0.936803,0.0,0.0,new_general_ev_method,0.585516
jurgen_locadia__cuw,Jürgen Locadia,CUW,FWD,2000000,0.7207,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,0.348797,0.0,0.0,new_general_ev_method,0.578729
aaron_hickey__sco,Aaron Hickey,SCO,DEF,2500000,0.774,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,1.90759,0.0,0.0,new_general_ev_method,0.57378
nathan_ak__ned,Nathan Ake,NED,DEF,3500000,0.6366,yes,yes,yes,yes,historical_components_lost_in_component_rebuild,"restore validated match components from named backup, then rerun existing consistency calculations",high,recoverable_from_backup_components,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,2.533849,0.00297,0.778105,deterministic_full,0.569202
bamba_dieng__sen,Bamba Dieng,SEN,FWD,2000000,0.673,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,0.383903,0.0,0.0,new_general_ev_method,0.55631
samu_costa__por,Samu Costa,POR,MID,2500000,0.65,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,0.812271,0.0,0.0,new_general_ev_method,0.5555
gael_kakuta__cod,Gaël Kakuta,COD,MID,2500000,0.6395,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,0.712472,0.0,0.0,new_general_ev_method,0.550565
daniel_svensson__swe,Daniel Svensson,SWE,DEF,3000000,0.6394,yes,yes,yes,yes,historical_aggregate_only_missing_match_components,restore validated aggregate EV; rebuild match components only through a separate general component-generation method,high,recoverable_aggregate_only,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,2.043194,-0.021193,1.142601,deterministic_aggregate_only,0.540518
nadiem_amiri__ger,Nadiem Amiri,GER,MID,2500000,0.6071,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,0.819988,0.0,0.0,new_general_ev_method,0.535337
mike_penders__bel,Mike Penders,BEL,GK,3500000,0.6044,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,1.682062,0.0,0.0,new_general_ev_method,0.534068
yerry_mina__col,Yerry Mina,COL,DEF,3000000,0.6156,yes,yes,no,no,missing_from_ev_master_at_holdet_rebase,"verify canonical identity against the pre-rebase source, then generate EV with the new general player-EV method",high,no_prior_nonzero_ev,unmatched,complete_components,component_weighted_sum,component_base_rebuilt,2.325887,0.0,0.0,manual_identity_then_general_method,0.529332
takehiro_tomiyasu__jpn,Takehiro Tomiyasu,JPN,DEF,2000000,0.7391,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,1.549159,0.0,0.0,new_general_ev_method,0.527377
jamie_leweling__ger,Jamie Leweling,GER,MID,3000000,0.525,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,1.221163,0.0,0.0,new_general_ev_method,0.52675
gilson_benchimol_tavares__cpv,Gilson Benchimol Tavares,CPV,FWD,2500000,0.5415,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,0.7009,0.0,0.0,new_general_ev_method,0.524505
jurri_n_timber__ned,Jurrien Timber,NED,DEF,2500000,0.6497,yes,yes,yes,yes,historical_components_lost_in_component_rebuild,"restore validated match components from named backup, then rerun existing consistency calculations",high,recoverable_from_backup_components,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,2.055066,0.010126,0.396689,deterministic_full,0.515359
eberechi_eze__eng,Eberechi Eze,ENG,MID,3000000,0.5007,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,1.176681,0.0,0.0,new_general_ev_method,0.515329
maximilian_beier__ger,Maximilian Beier,GER,FWD,2500000,0.5178,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,0.819359,0.0,0.0,new_general_ev_method,0.513366
jens_castrop__kor,Jens Castrop,KOR,MID,2500000,0.5417,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,0.709535,0.0,0.0,new_general_ev_method,0.504599
lawrence_shankland__sco,Lawrence Shankland,SCO,FWD,2500000,0.4979,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,0.777749,0.0,0.0,new_general_ev_method,0.504013
michael_boxall__nzl,Michael Boxall,NZL,DEF,2000000,0.6833,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,1.114488,0.0,0.0,new_general_ev_method,0.501151
francis_de_vries__nzl,Francis de Vries,NZL,DEF,2500000,0.6054,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,1.390265,0.0,0.0,new_general_ev_method,0.494538
angelo_stiller__ger,Angelo Stiller,GER,MID,2500000,0.5153,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,0.777204,0.0,0.0,new_general_ev_method,0.492191
ivan_toney__eng,Ivan Toney,ENG,FWD,3500000,0.344,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,1.448522,0.0,0.0,new_general_ev_method,0.49168
gustaf_lagerbielke__swe,Gustaf Lagerbielke,SWE,DEF,3000000,0.5292,yes,yes,yes,yes,historical_aggregate_only_missing_match_components,restore validated aggregate EV; rebuild match components only through a separate general component-generation method,high,recoverable_aggregate_only,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,1.889101,-0.042264,0.685619,deterministic_aggregate_only,0.488724
eric_garcia__esp,Eric Garcia,ESP,DEF,3000000,0.5243,yes,yes,no,no,missing_from_ev_master_at_holdet_rebase,"verify canonical identity against the pre-rebase source, then generate EV with the new general player-EV method",high,no_prior_nonzero_ev,unmatched,complete_components,component_weighted_sum,component_base_rebuilt,2.443585,0.0,0.0,manual_identity_then_general_method,0.486421
ko_itakura__jpn,Ko Itakura,JPN,DEF,2000000,0.6414,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,1.404323,0.0,0.0,new_general_ev_method,0.481458
juan_cucho_hernandez__col,Juan 'Cucho' Hernandez,COL,FWD,4000000,0.25,yes,yes,no,no,missing_from_ev_master_at_holdet_rebase,"verify canonical identity against the pre-rebase source, then generate EV with the new general player-EV method",high,no_prior_nonzero_ev,unmatched,complete_components,component_weighted_sum,component_base_rebuilt,1.621497,0.0,0.0,manual_identity_then_general_method,0.4775
nando_pijnaker__nzl,Nando Pijnaker,NZL,DEF,2000000,0.6188,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,1.052091,0.0,0.0,new_general_ev_method,0.470836
craig_gordon__sco,Craig Gordon,SCO,GK,2500000,0.583,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,0.903537,0.0,0.0,new_general_ev_method,0.46401
pablo_gavi__esp,Pablo Gavi,ESP,MID,4000000,0.25,yes,yes,no,no,missing_from_ev_master_at_holdet_rebase,"verify canonical identity against the pre-rebase source, then generate EV with the new general player-EV method",high,no_prior_nonzero_ev,unmatched,complete_components,component_weighted_sum,component_base_rebuilt,1.431156,0.0,0.0,manual_identity_then_general_method,0.4575
djed_spence__eng,Djed Spence,ENG,DEF,2500000,0.5214,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,1.877814,0.0,0.0,new_general_ev_method,0.455058
ross_stewart__sco,Ross Stewart,SCO,FWD,2000000,0.4562,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,0.362601,0.0,0.0,new_general_ev_method,0.454414
jo_hyeon_woo__kor,Hyeon-Woo Jo,KOR,GK,3500000,0.4144,yes,yes,no,yes,historical_aggregate_only_missing_match_components,restore validated aggregate EV; rebuild match components only through a separate general component-generation method,high,recoverable_aggregate_only,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,1.512989,-0.052744,0.513003,deterministic_aggregate_only,0.444768
dong_gyeong_lee__kor,Dong-gyeong Lee,KOR,MID,2000000,0.4607,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,0.30339,0.0,0.0,new_general_ev_method,0.436529
carlos_andres_gomez__col,Carlos Andres Gomez,COL,MID,2000000,0.4417,yes,yes,no,no,missing_from_ev_master_at_holdet_rebase,"verify canonical identity against the pre-rebase source, then generate EV with the new general player-EV method",high,no_prior_nonzero_ev,unmatched,complete_components,component_weighted_sum,component_base_rebuilt,0.340076,0.0,0.0,manual_identity_then_general_method,0.427599
thelo_aasgaard__nor,Thelo Aasgaard,NOR,MID,2000000,0.4417,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,0.339691,0.0,0.0,new_general_ev_method,0.427599
nathaniel_brown__ger,Nathaniel Brown,GER,DEF,2500000,0.4611,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,1.833791,0.0,0.0,new_general_ev_method,0.426717
carl_starfelt__swe,Carl Starfelt,SWE,DEF,2500000,0.4553,yes,yes,yes,yes,historical_aggregate_only_missing_match_components,restore validated aggregate EV; rebuild match components only through a separate general component-generation method,high,recoverable_aggregate_only,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,1.446332,-0.021034,0.392925,deterministic_aggregate_only,0.423991
nihad_mujaki__bih,Nihad Mujakic,BIH,DEF,2500000,0.4396,yes,yes,yes,yes,historical_aggregate_only_missing_match_components,restore validated aggregate EV; rebuild match components only through a separate general component-generation method,high,recoverable_aggregate_only,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,1.441167,-0.010854,0.618506,deterministic_aggregate_only,0.416612
jarell_quansah__eng,Jarell Quansah,ENG,DEF,2500000,0.4327,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,1.695241,0.0,0.0,new_general_ev_method,0.413369
fredrik_andr_bj_rkan__nor,Fredrik Andre Bjørkan,NOR,DEF,2500000,0.4313,yes,yes,yes,yes,historical_aggregate_only_missing_match_components,restore validated aggregate EV; rebuild match components only through a separate general component-generation method,high,recoverable_aggregate_only,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,1.591175,-0.015034,0.234253,deterministic_aggregate_only,0.412711
frans_dhia_putros__irq,Frans Dhia Putros,IRQ,DEF,2000000,0.4806,yes,yes,yes,yes,historical_components_lost_in_component_rebuild,"restore validated match components from named backup, then rerun existing consistency calculations",high,recoverable_from_backup_components,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,0.718879,0.003495,0.038,deterministic_full,0.405882
robin_risser__fra,Robin Risser,FRA,GK,4000000,0.25,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,1.197081,0.0,0.0,new_general_ev_method,0.3975
mark_flekken__ned,Mark Flekken,NED,GK,4000000,0.2478,yes,yes,no,yes,historical_aggregate_only_missing_match_components,restore validated aggregate EV; rebuild match components only through a separate general component-generation method,high,recoverable_aggregate_only,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,1.395527,-0.049291,0.644551,deterministic_aggregate_only,0.396466
matias_fernandez_pardo__bel,Matias Fernandez-Pardo,BEL,FWD,2500000,0.25,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,0.678095,0.0,0.0,new_general_ev_method,0.3875
